B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.998980101010101	5.8800099999999995	2.6457311897382718e7	2.781372101977172e7	2.644985675910784e7	2.7809450468896564e7	1.9808464234197516e7	2.4754933713625148e7	1.9818529711464208e7	2.4774090542780377e7	2.2617491434357755e7	2.2612836486106344e7
0.998980101010101	6.0900099999999995	2.7284654737705052e7	2.8680484713285886e7	2.727115150530419e7	2.8673494817368966e7	2.0412935104365427e7	2.5523348157621928e7	2.0435814482813053e7	2.554568010462988e7	2.33161491053962e7	2.3314240530045476e7
0.998980101010101	6.300009999999999	2.810850884738545e7	2.9543504861262362e7	2.808881166223431e7	2.953373110307938e7	2.101442387856512e7	2.628835462970129e7	2.1050423645696595e7	2.6313923887431223e7	2.4011608248378333e7	2.4012518553220667e7
0.998980101010101	6.510009999999999	2.8929004548016082e7	3.0402921667687222e7	2.8902973721090876e7	3.0390302265898775e7	2.1613043984931335e7	2.705008114201346e7	2.1662457446917742e7	2.7078947252736434e7	2.4703989443204205e7	2.4707788041575536e7
0.998980101010101	6.720009999999999	2.9746263251215696e7	3.1258865737945884e7	2.9713764815492272e7	3.1243341448368736e7	2.2208901023004968e7	2.780864692932486e7	2.227200926880864e7	2.7840866977679446e7	2.539340498637704e7	2.540015842310569e7
0.998980101010101	6.930009999999999	3.0560398326964647e7	3.2111459015117288e7	3.0521303635126565e7	3.2092972952128068e7	2.2802093531527806e7	2.856416330608695e7	2.287916629891629e7	2.8599792092469748e7	2.607995970085951e7	2.6089731854829695e7
0.998980101010101	7.140009999999999	3.13715158635798e7	3.2960815599347234e7	3.1325701225223355e7	3.293931307483452e7	2.3392713659968674e7	2.9316734416395925e7	2.3484010116052143e7	2.9355824613291252e7	2.6763751644626748e7	2.6776603911396526e7
0.998980101010101	7.350009999999999	3.2179715335640028e7	3.380704246791196e7	3.2127061689058088e7	3.3782470845590144e7	2.398084775832754e7	3.0066457892985024e7	2.4086617205303535e7	3.010906018636167e7	2.7444872733192217e7	2.746086419015587e7
0.998980101010101	7.560009999999999	3.298509019332227e7	3.465024011049897e7	3.2925482807683896e7	3.46225486737247e7	2.456657689721133e7	3.081342543856584e7	2.4687059412400026e7	3.085958865614997e7	2.8123409288710438e7	2.8142596844920576e7
0.998980101010101	7.770009999999999	3.378772838432058e7	3.549050309176626e7	3.372105658867166e7	3.545964292326882e7	2.5149977328132503e7	3.155772334057064e7	2.5285404346062053e7	3.1607494568541586e7	2.879944252611407e7	2.882188105857242e7
0.998980101010101	7.980009999999999	3.4587712817673534e7	3.632792055124357e7	3.4513869753687225e7	3.6293844423403695e7	2.573112089232972e7	3.229943292851887e7	2.5881715735531718e7	3.2352857617954288e7	2.9473048985012043e7	2.9498791462980635e7
0.998980101010101	8.19001	3.5385121777323805e7	3.7162576649019696e7	3.5304004173153535e7	3.712523892352028e7	2.6310075385070175e7	3.303863098174303e7	2.647605374932479e7	3.3095753045958847e7	3.0144300914666835e7	3.0173398513338003e7
0.998980101010101	8.40001	3.618002929200671e7	3.7994550964333214e7	3.609153725495e7	3.795390750016426e7	2.688690488129811e7	3.377539009399767e7	2.7068475280297276e7	3.3836251997772895e7	3.0813266618221235e7	3.084576882290553e7
0.998980101010101	8.610009999999999	3.697250546705472e7	3.882391885309668e7	3.687654229303402e7	3.877992692202816e7	2.7461670027593624e7	3.450977900047265e7	2.7659034201337747e7	3.457442184202026e7	3.1480010761397175e7	3.151596546323458e7
0.998980101010101	8.82001	3.776261678287283e7	3.965075176948325e7	3.765908878099646e7	3.960336997823335e7	2.803442830466339e7	3.524186287190982e7	2.82477815953559e7	3.531032645834524e7	3.2144594650111858e7	3.2184048234185386e7
0.998980101010101	9.030009999999999	3.85504263641457e7	4.047511755595722e7	3.84392426948255e7	4.042430577438015e7	2.860523426396844e7	3.597170357983802e7	2.883476596270024e7	3.6044026496801265e7	3.28070764808037e7	3.2850073907423627e7
0.998980101010101	9.24001	3.933599422325985e7	4.129708070550586e7	3.921706674855113e7	4.124280000020658e7	2.9174139741578422e7	3.669935993636535e7	2.9420033408694386e7	3.677557961237553e7	3.34675115667255e7	3.3514096446558323e7
0.998980101010101	9.450009999999999	4.011937748094104e7	4.2116702599309474e7	3.9992620625925094e7	4.20589151721594e7	2.974119405191113e7	3.742488791149311e7	3.0003627813604712e7	3.750504067754281e7	3.412595254300295e7	3.417616720663994e7
0.998980101010101	9.66001	4.090063056669783e7	4.2934041722642854e7	4.076596119086792e7	4.287271085373802e7	3.0306444163655937e7	3.81483408305123e7	3.058559098703979e7	3.823246197535088e7	3.478244955288032e7	3.483633511537101e7
