B	muFe	ms1	ms2	ms3	ms4	ms5	ms6	ms7	ms8	ms9	ms10
0.992	10.36	9.07476917814068e8	9.555388800431182e8	9.54130199280162e8	9.54130199280162e8	6.714441979992839e8	8.48104800980821e8	6.772977323425696e8	8.487299469004898e8	7.733023378456721e8	7.750177024510309e8
0.992	10.51	9.190012250740192e8	9.676138053423898e8	9.661527763322335e8	9.661527763322335e8	6.797846814547834e8	8.588124066930704e8	6.858651696689801e8	8.594744478149313e8	7.830375578726065e8	7.848131949389089e8
0.992	10.66	9.305054614883391e8	9.796669620416628e8	9.781532531052405e8	9.781532531052405e8	6.88108373168057e8	8.695005889423558e8	6.944172679146147e8	8.701998176859967e8	7.92754773584996e8	7.945910500919886e8
0.992	10.809999999999999	9.419899437211896e8	9.916986948950979e8	9.901319803729852e8	9.901319803729852e8	6.964155425340366e8	8.801696555552359e8	7.02954269821674e8	8.80906359079512e8	8.024542709426917e8	8.043515471980195e8
0.992	10.959999999999999	9.534549791190065e8	1.0037093384923495e9	1.0020892985553706e9	1.0020892985553706e9	7.047064509506296e8	8.908199052792263e8	7.114764109784037e8	8.915943656471127e8	8.121363274617285e8	8.140949573110254e8
0.992	11.11	9.649008661083548e8	1.0156992176931939e9	1.0140255381614519e9	1.0140255381614519e9	7.129813521622299e8	9.014516281710747e8	7.199839201248882e8	9.022641225072029e8	8.218012125757163e8	8.238215436033356e8
0.992	11.26	9.763278945716635e8	1.027668648037908e9	1.0259410202078112e9	1.0259410202078112e9	7.21240492584033e8	9.120651059634397e8	7.284770194418317e8	9.129159066047088e8	8.314491879771093e8	8.335315616980121e8
0.992	11.41	9.877363462023486e8	1.0396179361351585e9	1.0378360566139123e9	1.0378360566139123e9	7.294841116084808e8	9.226606124113977e8	7.369559248234693e8	9.235499870510924e8	8.410805079397129e8	8.432252599830298e8
0.992	11.559999999999999	9.991264948406839e8	1.0515473800288239e9	1.0497109505760318e9	1.0497109505760318e9	7.377124418950343e8	9.332384136201861e8	7.454208461356971e8	9.341666254459096e8	8.506954196236935e8	8.52902879908416e8
0.992	11.709999999999999	1.0104986067917403e9	1.0634572695452029e9	1.0615659969211763e9	1.0615659969211763e9	7.459257096443793e8	9.437987683553969e8	7.538719874603817e8	9.44766076181203e8	8.602941633642504e8	8.62564656267493e8
0.992	11.86	1.0218529411265364e9	1.0753478866218848e9	1.0734014824422559e9	1.0734014824422559e9	7.541241348581079e8	9.543419283367767e8	7.623095473267888e8	9.553485867297926e8	8.698769729450334e8	8.722108174632688e8
0.992	12.01	1.0331897499675004e9	1.087219505619464e9	1.085217686215818e9	1.085217686215818e9	7.623079315848068e8	9.648681385167103e8	7.707337189309108e8	9.659143979185547e8	8.794440758572826e8	8.818415857609317e8
0.992	12.16	1.0445092787592516e9	1.0990723936172116e9	1.097014879903363e9	1.097014879903363e9	7.704773081534202e8	9.753776373443487e8	7.791446903435383e8	9.764637441876295e8	8.889956935456318e8	8.914571775273415e8
0.992	12.309999999999999	1.0558117665256091e9	1.1109068106936786e9	1.108793328037362e9	1.108793328037362e9	7.78632467394711e8	9.858706570163159e8	7.875426447077106e8	9.869968538364409e8	8.985320416413584e8	9.010578034583439e8
0.992	12.459999999999999	1.0670974461137081e9	1.1227230101932302e9	1.1205532882928536e9	1.1205532882928536e9	7.867736068515482e8	9.963474237147932e8	7.959277604262882e8	9.975139492573627e8	9.080533301839486e8	9.106436687946506e8
0.992	12.61	1.078366544426008e9	1.134521238979337e9	1.1322950117455883e9	1.1322950117455883e9	7.949009189787215e8	1.0068081578338046e9	8.043002113401772e8	1.0080152471577888e9	9.175597638316323e8	9.202149735270184e8
0.992	12.76	1.0896192826409268e9	1.1463017376754243e9	1.1440187431174726e9	1.1440187431174726e9	8.030145913329126e8	1.0172530741943727e9	8.126601668978385e8	1.0185009587713097e9	9.270515420615721e8	9.297719125913472e8
0.992	12.91	1.1008558764228015e9	1.1580647408940804e9	1.1557247210101223e9	1.1557247210101223e9	8.111148067534361e8	1.0276823822492777e9	8.210077923165678e8	1.028971290058672e9	9.36528859360365e8	9.393146760543418e8
0.992	13.059999999999999	1.1120765361217842e9	1.169810477455249e9	1.1674131781272206e9	1.1674131781272206e9	8.192017435342858e8	1.0380962862779671e9	8.293432487360587e8	1.0394264418990873e9	9.459919054053894e8	9.488434492902478e8
0.992	13.209999999999999	1.1232814669642913e9	1.1815391705941117e9	1.1790843414863331e9	1.1790843414863331e9	8.272755755879985e8	1.0484949855722609e9	8.376666933646855e8	1.0498666102724965e9	9.554408652375695e8	9.58358413149254e8
0.992	13.36	1.1344708692345364e9	1.1932510381592126e9	1.190738432620792e9	1.190738432620792e9	8.353364726018213e8	1.0588786746133378e9	8.459782796189442e8	1.0602919864333177e9	9.648759194260354e8	9.67859744117973e8
0.992	13.51	1.145644938447669e9	1.2049462928014286e9	1.2023756677722373e9	1.2023756677722373e9	8.433846001866263e8	1.069247543240544e9	8.542781572564294e8	1.0707027570761076e9	9.742972442251481e8	9.773476144725208e8
